#,Grammar,Reading,Meaning,Source
1,あげく,,to end up; in the end; finally; after all ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%81%92%e3%81%8f-ageku-meaning/
2,あるいは,,or; either; maybe; perhaps; possibly ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%82%e3%82%8b%e3%81%84%e3%81%af-aruiwa-meaning/
3,ばかり,,"about, approximately ~",https://jlptsensei.com/learn-japanese-grammar/n2-%e3%81%b0%e3%81%8b%e3%82%8a-bakari-meaning/
4,ばかりだ,,continue to (go in negative direction),https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%a0-bakari-da-meaning/
5,ばかりか,,not only... but also; as well as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%8b-bakari-ka-meaning/
6,ばかりに,,simply because; on account of~ (negative result),https://jlptsensei.com/learn-japanese-grammar/%e3%81%b0%e3%81%8b%e3%82%8a%e3%81%ab-bakari-ni-meaning/
7,ちなみに,,by the way; in this connection; incidentally; (conjunction),https://jlptsensei.com/learn-japanese-grammar/%e3%81%a1%e3%81%aa%e3%81%bf%e3%81%ab-chinamini-meaning/
8,ちっとも～ない,,(not) at all; (not) in the least ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a1%e3%81%a3%e3%81%a8%e3%82%82%ef%bd%9e%e3%81%aa%e3%81%84-chitto-monai-meaning/
9,だけあって,,being the case; precisely because; as expected from ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%82%e3%81%a3%e3%81%a6-dake-atte-meaning/
10,だけましだ,,it’s better than; one should feel grateful for ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%be%e3%81%97%e3%81%a0-dake-mashi-da-meaning/
11,だけに,,being the case; precisely because; as one would expect,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%ab-dake-ni-meaning/
12,だけのことはある,,no wonder; as expected of; not ... for nothing; not ... with nothing to show for it,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%ae%e3%81%93%e3%81%a8%e3%81%af%e3%81%82%e3%82%8b-dake-no-koto-wa-aru-meaning/
13,だけは,,to do all that one can,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91%e3%81%af-dake-wa-meaning/
14,だって,,because; but; after all; even; too,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%a3%e3%81%a6-datte-meaning/
15,でしかない,,merely; nothing but; no more than; there is only ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%97%e3%81%8b%e3%81%aa%e3%81%84-de-shika-nai-meaning/
16,どころではない,,not the time for; not the place for; far from; anything but ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%93%e3%82%8d%e3%81%a7%e3%81%af%e3%81%aa%e3%81%84-dokoro-dewa-nai-meaning/
17,どころか,,far from; anything but; let alone; not to mention; much less ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%93%e3%82%8d%e3%81%8b-dokoro-ka-meaning/
18,どうやら,,possibly; apparently; seems like; somehow; barely ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%82%84%e3%82%89-dou-yara-meaning/
19,どうせ,,anyhow; in any case; at any rate; after all; no matter what,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%81%9b-douse-meaning/
20,得ない,（えない）,unable to; cannot; it is not possible to ~,https://jlptsensei.com/learn-japanese-grammar/%e5%be%97%e3%81%aa%e3%81%84-%e3%81%88%e3%81%aa%e3%81%84-enai-meaning/
21,得る,（える / うる）,can; to be able to; is possible to~,https://jlptsensei.com/learn-japanese-grammar/%e5%be%97%e3%82%8b-%e3%81%88%e3%82%8b-%e3%81%86%e3%82%8b-eru-uru-meaning/
22,再び,（ふたたび）,again; once more,https://jlptsensei.com/learn-japanese-grammar/%e5%86%8d%e3%81%b3-%e3%81%b5%e3%81%9f%e3%81%9f%e3%81%b3-futatabi-meaning/
23,ふうに,,this way; that way; in such a way; how,https://jlptsensei.com/learn-japanese-grammar/%e3%81%b5%e3%81%86%e3%81%ab-fuu-ni-meaning/
24,がきっかけで / をきっかけに,,with… as a start; as a result of; taking advantage of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8c%e3%81%8d%e3%81%a3%e3%81%8b%e3%81%91%e3%81%a7-ga-kikkake-de-%e3%82%92%e3%81%8d%e3%81%a3%e3%81%8b%e3%81%91%e3%81%ab-o-kikkake-ni-meaning/
25,げ,,looks like; seems like; appears to ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%92-ge-meaning/
26,逆に,（ぎゃくに）,conversely; on the contrary ~,https://jlptsensei.com/learn-japanese-grammar/%e9%80%86%e3%81%ab-gyaku-ni-meaning/
27,反面,（はんめん）,"while, although; on the other hand~",https://jlptsensei.com/learn-japanese-grammar/%e5%8f%8d%e9%9d%a2-%e3%81%af%e3%82%93%e3%82%81%e3%82%93-hanmen-meaning/
28,果たして,（はたして）,as was expected; sure enough; really; actually ~,https://jlptsensei.com/learn-japanese-grammar/%e6%9e%9c%e3%81%9f%e3%81%97%e3%81%a6-%e3%81%af%e3%81%9f%e3%81%97%e3%81%a6-hatashite-meaning/
29,一応,（いちおう）,more or less; pretty much; roughly; tentatively ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e5%bf%9c-ichiou-meaning/
30,以外,（いがい）,with the exception of; excepting ~,https://jlptsensei.com/learn-japanese-grammar/%e4%bb%a5%e5%a4%96%e3%81%ae-igai-no-meaning/
31,以上に,（いじょうに）,more than; not less than; beyond ~,https://jlptsensei.com/learn-japanese-grammar/%e4%bb%a5%e4%b8%8a%e3%81%ab-%e3%81%84%e3%81%98%e3%82%87%e3%81%86%e3%81%ab-ijou-ni-meaning/
32,以上は,（いじょうは）,because; since; seeing that ~,https://jlptsensei.com/learn-japanese-grammar/%e4%bb%a5%e4%b8%8a%e3%81%af-ijou-wa-meaning/
33,いきなり,,abruptly; suddenly; all of a sudden; without warning,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%81%8d%e3%81%aa%e3%82%8a-ikinari-meaning/
34,一気に,（いっきに）,in one go; without stopping; all at once; immediately; instantly; right away ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e6%b0%97%e3%81%ab-%e3%81%84%e3%81%a3%e3%81%8d%e3%81%ab-ikki-ni-meaning/
35,一方で,（いっぽうで）,"on one hand, on the other hand; although ~",https://jlptsensei.com/learn-japanese-grammar/%e4%b8%80%e6%96%b9%e3%81%a7-ippou-de-meaning/
36,いわゆる,,what is called; as it is called; the so-called; so to speak​,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%82%8f%e3%82%86%e3%82%8b-iwayuru-meaning/
37,いよいよ,,at last; finally; beyond doubt,https://jlptsensei.com/learn-japanese-grammar/%e3%81%84%e3%82%88%e3%81%84%e3%82%88-iyoiyo-meaning/
38,上,（じょう）,for the sake of; from the standpoint of; as a matter of; in terms of ~,https://jlptsensei.com/learn-japanese-grammar/%e4%b8%8a-jou-meaning/
39,かのように,,as if; just like ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%ae%e3%82%88%e3%81%86%e3%81%ab-ka-no-you-ni-meaning/
40,かと思ったら,（かとおもったら）,just when; no sooner than ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%a8%e6%80%9d%e3%81%a3%e3%81%9f%e3%82%89-ka-to-omottara-meaning/
41,か～ないかのうちに,,just as; right after; as soon as ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%ef%bd%9e%e3%81%aa%e3%81%84%e3%81%8b%e3%81%ae%e3%81%86%e3%81%a1%e3%81%ab-ka-nai-ka-no-uchi-ni-meaning/
42,かえって,,on the contrary; rather; all the more; surprisingly ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%88%e3%81%a3%e3%81%a6-kaette-meaning/
43,限り,（かぎり）,as long as; while… is the case; as far as; while ~,https://jlptsensei.com/learn-japanese-grammar/%e9%99%90%e3%82%8a-kagiri-meaning/
44,甲斐がある,（かいがある）,it’s worth one’s efforts to do something,https://jlptsensei.com/learn-japanese-grammar/%e7%94%b2%e6%96%90%e3%81%8c%e3%81%82%e3%82%8b-%e3%81%8b%e3%81%84%e3%81%8c%e3%81%82%e3%82%8b-kai-ga-aru-meaning/
45,かねない,,(someone) might do something; something might happen,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%ad%e3%81%aa%e3%81%84-kanenai-meaning/
46,かねる,,unable to do something; can’t do something,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%81%ad%e3%82%8b-%e3%81%8b%e3%81%ad%e3%81%be%e3%81%99-kaneru-kanemasu-meaning/
47,から言うと,（からいうと）,in terms of; from the point of view of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e8%a8%80%e3%81%86%e3%81%a8-kara-iu-to-meaning/
48,からこそ,,precisely because ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%93%e3%81%9d-kara-koso-meaning/
49,から見ると,（からみると）,from the point of view of; by the look of; judging from ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e8%a6%8b%e3%82%8b%e3%81%a8-kara-miru-to-meaning/
50,からには,,now that; since; so long as; because ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%ab%e3%81%af-kara-niwa-meaning/
51,からして,,judging from; based on; since; from; even ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%97%e3%81%a6-kara-shite-meaning/
52,からすると / からすれば,,judging from; considering; by the look of ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%99%e3%82%8b%e3%81%a8-%e3%81%8b%e3%82%89%e3%81%99%e3%82%8c%e3%81%b0-kara-suru-to-kara-sureba-meaning/
53,からと言って,（からといって）,just because; even if; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8b%e3%82%89%e3%81%a8%e3%81%84%e3%81%a3%e3%81%a6-kara-to-itte-meaning/
54,っこない,,no chance of; … is definitely not possible,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a3%e3%81%93%e3%81%aa%e3%81%84-kkonai-meaning/
55,ことだ,,should do~ (used for suggestions or giving advice),https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%a0-koto-da-meaning/
56,ことだから,,because; since ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%a0%e3%81%8b%e3%82%89-koto-dakara-meaning/
57,ことか,,how…!; what…!,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%8b-koto-ka-meaning/
58,ことなく,,without doing something even once,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%aa%e3%81%8f-koto-naku-meaning/
59,ことに,,emphasize speaker's feelings; to my (surprise/etc),https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%ab-koto-ni-meaning/
60,ことにはならない,,just because… doesn’t mean ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%93%e3%81%a8%e3%81%ab%e3%81%af%e3%81%aa%e3%82%89%e3%81%aa%e3%81%84-koto-niwa-naranai-meaning/
61,くせして,,although; despite the fact that; even though ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%8f%e3%81%9b%e3%81%97%e3%81%a6-kuse-shite-meaning/
62,まだしも,,rather; better​ ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%aa%e3%82%89%e3%81%be%e3%81%a0%e3%81%97%e3%82%82-nara-madashimo-meaning/
63,まい,,will not; will probably not; intend not to; must not ~,https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%84-mai-meaning/
64,ままに,,"as, to do as ~",https://jlptsensei.com/learn-japanese-grammar/%e3%81%be%e3%81%be%e3%81%ab-mama-ni-meaning/
65,全く～ない,（まったく～ない）,not at all ~,https://jlptsensei.com/learn-japanese-grammar/%e5%85%a8%e3%81%8f%ef%bd%9e%e3%81%aa%e3%81%84-mattakunai-meaning/
